date,HLY_TEMP_NORMAL_LA,HLY_TEMP_10PCTL_LA,HLY_TEMP_90PCTL_LA,HLY_DEWP_NORMAL_LA,HLY_DEWP_10PCTL_LA,HLY_DEWP_90PCTL_LA,HLY_PRES_NORMAL_LA,HLY_PRES_10PCTL_LA,HLY_PRES_90PCTL_LA,HLY_CLDH_NORMAL_LA,HLY_HTDH_NORMAL_LA,HLY_CLOD_PCTCLR_LA,HLY_CLOD_PCTFEW_LA,HLY_CLOD_PCTSCT_LA,HLY_CLOD_PCTBKN_LA,HLY_CLOD_PCTOVC_LA,HLY_HIDX_NORMAL_LA,HLY_WCHL_NORMAL_LA,HLY_WIND_AVGSPD_LA,HLY_WIND_PCTCLM_LA,HLY_WIND_VCTDIR_LA,HLY_WIND_VCTSPD_LA,HLY_WIND_1STDIR_LA,HLY_WIND_1STPCT_LA,HLY_WIND_2NDDIR_LA,HLY_WIND_2NDPCT_LA,Megawatts_2019
01-01T00:00:00,54.6,50.0,60.1,41.2,24.1,53.8,1018.7,1013.2,1023.6,0.1,10.5,32.5,17.7,16.5,15.0,18.2,54.6,54.2,5.3,16.9,55.0,2.3,3.0,30.1,2.0,17.8,283652.0
01-01T01:00:00,53.7,48.9,59.0,40.6,24.1,53.1,1018.5,1013.2,1023.4,0.0,11.4,32.4,17.7,17.0,15.7,17.2,53.7,53.2,5.2,19.8,53.0,2.3,3.0,26.4,2.0,18.6,252485.0
01-01T02:00:00,52.5,46.9,57.9,40.1,24.1,53.1,1018.5,1013.4,1023.7,0.0,12.5,32.9,17.5,16.0,18.0,15.7,52.5,52.0,4.8,20.4,55.0,2.3,3.0,27.5,2.0,22.3,245501.0
01-01T03:00:00,51.7,46.9,57.0,39.6,24.1,52.0,1018.5,1013.4,1023.8,0.0,13.3,33.8,19.8,14.5,15.5,16.5,51.7,51.0,4.6,23.3,51.0,2.4,3.0,27.9,2.0,22.8,241545.0
01-01T04:00:00,51.0,46.0,55.9,39.3,23.0,52.0,1018.3,1013.0,1023.3,0.0,14.0,32.7,15.8,14.6,16.9,20.0,51.0,50.2,4.5,27.2,57.0,2.5,3.0,30.0,2.0,19.4,241926.0
01-01T05:00:00,50.8,45.0,56.3,38.7,21.9,52.0,1018.2,1013.1,1023.3,0.0,14.2,34.4,17.2,15.2,14.2,19.0,50.8,50.0,4.6,25.6,61.0,2.5,3.0,30.8,2.0,18.7,247438.0
01-01T06:00:00,50.5,45.0,57.0,38.4,21.9,52.0,1018.5,1013.4,1023.4,0.0,14.5,33.6,19.4,13.4,13.7,19.9,50.5,49.7,4.7,24.2,62.0,2.4,3.0,31.3,2.0,17.6,256497.0
01-01T07:00:00,51.1,45.0,57.0,37.8,21.0,52.0,1018.9,1013.7,1023.9,0.0,13.9,14.5,19.9,26.0,21.7,17.9,51.1,50.2,5.1,20.2,63.0,2.8,3.0,32.0,2.0,19.1,256361.0
01-01T08:00:00,52.5,46.9,59.0,38.0,21.0,52.0,1019.3,1014.3,1024.2,0.0,12.5,14.0,18.5,23.6,23.6,20.3,52.5,51.8,5.2,17.3,67.0,3.2,3.0,32.7,2.0,21.7,249077.0
01-01T09:00:00,55.8,50.0,62.1,38.3,21.9,52.0,1019.8,1014.8,1024.9,0.1,9.3,15.4,17.7,24.1,23.8,19.0,55.8,55.5,5.7,12.0,71.0,3.4,3.0,33.2,2.0,22.9,241264.0
01-01T10:00:00,59.2,53.1,66.9,38.4,21.0,52.0,1020.2,1015.1,1025.1,0.6,6.4,14.0,17.4,21.3,26.4,20.9,59.2,59.1,6.2,12.7,69.0,3.0,3.0,27.7,2.0,23.8,234063.0
01-01T11:00:00,61.8,55.0,71.1,38.5,21.0,52.0,1019.7,1014.7,1024.6,1.4,4.7,15.2,17.5,22.6,25.6,19.0,61.8,61.7,6.0,15.3,73.0,1.6,3.0,21.5,4.0,15.5,226898.0
01-01T12:00:00,63.2,55.9,73.0,38.9,21.0,53.1,1018.8,1013.6,1023.6,2.0,3.8,14.9,17.4,22.4,28.4,16.9,63.2,63.2,6.4,15.6,248.0,1.2,7.0,24.0,3.0,12.7,222994.0
01-01T13:00:00,63.5,55.9,73.0,40.7,21.9,54.0,1017.9,1012.9,1022.6,2.0,3.5,17.3,14.7,21.6,26.1,20.3,63.5,63.5,8.1,7.6,252.0,4.4,7.0,41.1,6.0,18.0,223812.0
01-01T14:00:00,62.9,55.9,72.0,42.0,25.0,54.0,1017.5,1012.4,1022.2,1.6,3.7,15.3,14.8,23.6,26.8,19.5,62.9,62.9,9.2,3.8,254.0,6.2,7.0,52.9,6.0,17.8,231310.0
01-01T15:00:00,61.9,55.9,70.0,43.0,28.0,54.0,1017.5,1012.5,1022.2,1.2,4.3,11.9,19.3,22.8,26.2,19.8,61.9,61.9,9.7,2.2,257.0,6.9,7.0,57.0,6.0,20.2,245848.0
01-01T16:00:00,60.7,55.0,68.0,43.9,30.0,54.1,1017.5,1012.5,1022.3,0.8,5.1,10.6,18.7,19.8,31.1,19.8,60.7,60.6,9.4,1.6,259.0,6.7,7.0,57.9,6.0,20.3,274190.0
01-01T17:00:00,58.9,54.0,64.9,44.7,30.9,55.0,1017.6,1012.4,1022.2,0.4,6.5,10.0,19.4,24.1,28.9,17.7,58.9,58.8,8.4,2.7,265.0,5.8,7.0,52.5,6.0,16.8,314090.0
01-01T18:00:00,57.9,53.1,63.0,44.8,30.9,55.0,1017.9,1012.8,1022.5,0.2,7.3,13.5,21.3,24.8,22.8,17.6,57.9,57.8,7.2,6.4,270.0,4.4,7.0,45.8,6.0,16.8,322437.0
01-01T19:00:00,57.4,53.1,63.0,44.4,30.0,54.9,1018.1,1013.1,1022.9,0.2,7.8,27.5,16.2,19.7,20.6,16.0,57.4,57.3,6.2,13.3,278.0,2.9,7.0,32.7,6.0,16.1,320296.0
01-01T20:00:00,57.1,52.0,62.1,44.0,27.0,54.9,1018.3,1013.2,1023.1,0.1,8.0,30.9,19.2,14.9,18.9,16.1,57.1,57.0,5.5,17.8,306.0,1.5,7.0,20.4,1.0,14.7,315396.0
01-01T21:00:00,56.5,51.1,62.1,43.4,26.1,55.0,1018.5,1013.5,1023.4,0.1,8.5,33.6,17.9,14.3,16.2,18.1,56.5,56.4,5.0,22.4,14.0,1.0,1.0,14.5,3.0,14.3,303997.0
01-01T22:00:00,55.9,51.1,61.0,43.2,27.0,55.0,1018.8,1013.6,1023.5,0.0,9.1,32.6,16.3,12.2,19.5,19.5,55.9,55.7,4.9,23.6,46.0,1.4,3.0,20.2,2.0,12.5,285488.0
01-01T23:00:00,55.6,50.0,61.0,42.5,26.1,54.0,1018.8,1013.7,1023.5,0.1,9.5,32.1,17.8,15.8,17.0,17.3,55.6,55.4,5.2,19.6,50.0,1.9,3.0,25.3,1.0,13.8,245425.0
01-02T00:00:00,54.7,50.0,60.1,41.7,24.1,54.0,1018.6,1013.4,1023.2,0.1,10.4,31.4,17.5,16.3,16.3,18.5,54.7,54.3,5.2,16.7,60.0,2.3,3.0,30.2,2.0,18.5,275455.0
01-02T01:00:00,53.8,48.9,59.0,41.1,24.1,53.6,1018.4,1013.3,1023.3,0.0,11.3,32.1,16.8,16.8,16.8,17.5,53.8,53.3,5.1,19.8,58.0,2.4,3.0,27.1,2.0,18.3,245382.0
01-02T02:00:00,52.6,46.9,57.9,40.6,24.1,53.1,1018.5,1013.6,1023.5,0.0,12.4,31.9,17.3,15.8,18.6,16.3,52.6,52.1,4.7,20.9,59.0,2.4,3.0,27.6,2.0,22.3,241368.0
01-02T03:00:00,51.8,46.9,57.0,40.2,24.1,53.1,1018.5,1013.4,1023.5,0.0,13.3,32.7,19.9,14.3,15.8,17.3,51.8,51.1,4.6,22.9,55.0,2.5,3.0,28.4,2.0,24.1,242669.0
01-02T04:00:00,51.1,46.0,57.0,39.8,23.0,53.1,1018.2,1013.0,1023.0,0.0,13.9,31.5,15.5,13.8,18.1,21.1,51.1,50.4,4.4,27.6,61.0,2.5,3.0,30.7,2.0,18.8,251838.0
01-02T05:00:00,50.9,46.0,57.0,39.3,23.0,52.0,1018.2,1013.3,1023.1,0.0,14.1,33.2,17.0,15.2,14.7,19.8,50.9,50.1,4.6,25.3,65.0,2.5,3.0,31.9,2.0,18.7,271002.0
01-02T06:00:00,50.7,45.0,57.0,39.1,23.0,52.0,1018.5,1013.4,1023.3,0.0,14.3,31.8,20.2,13.2,14.0,20.8,50.7,49.9,4.8,23.6,65.0,2.4,3.0,31.7,2.0,18.0,296481.0
01-02T07:00:00,51.3,45.0,57.0,38.5,21.0,52.0,1018.9,1013.7,1023.6,0.0,13.8,13.8,18.9,26.6,22.5,18.2,51.3,50.4,5.0,20.7,64.0,2.8,3.0,31.3,2.0,19.3,309039.0
01-02T08:00:00,52.6,46.9,59.0,38.7,21.9,52.5,1019.3,1014.3,1024.1,0.0,12.4,13.8,17.4,24.3,24.3,20.2,52.6,52.0,5.2,17.3,68.0,3.2,3.0,33.5,2.0,20.3,305364.0
01-02T09:00:00,55.9,50.0,62.1,39.1,21.9,53.1,1019.8,1014.9,1024.6,0.1,9.2,15.1,17.1,23.8,24.8,19.2,55.9,55.6,5.7,11.8,74.0,3.5,3.0,34.4,2.0,21.9,292923.0
01-02T10:00:00,59.2,53.1,66.9,39.2,21.9,53.1,1020.1,1015.2,1025.0,0.6,6.4,14.0,16.5,20.4,27.5,21.6,59.2,59.1,6.2,12.9,73.0,3.0,3.0,28.6,2.0,22.1,281647.0
