HLY_TEMP_NORMAL_SF,HLY_TEMP_10PCTL_SF,HLY_TEMP_90PCTL_SF,HLY_DEWP_NORMAL_SF,HLY_DEWP_10PCTL_SF,HLY_DEWP_90PCTL_SF,HLY_PRES_NORMAL_SF,HLY_PRES_10PCTL_SF,HLY_PRES_90PCTL_SF,HLY_CLDH_NORMAL_SF,HLY_HTDH_NORMAL_SF,HLY_CLOD_PCTCLR_SF,HLY_CLOD_PCTFEW_SF,HLY_CLOD_PCTSCT_SF,HLY_CLOD_PCTBKN_SF,HLY_CLOD_PCTOVC_SF,HLY_HIDX_NORMAL_SF,HLY_WCHL_NORMAL_SF,HLY_WIND_AVGSPD_SF,HLY_WIND_PCTCLM_SF,HLY_WIND_VCTDIR_SF,HLY_WIND_VCTSPD_SF,HLY_WIND_1STDIR_SF,HLY_WIND_1STPCT_SF,HLY_WIND_2NDDIR_SF,HLY_WIND_2NDPCT_SF
[0.10137920826673508],[0.14564847946166992],[0.06605856120586395],[0.10691402852535248],[0.11038409918546677],[0.08406546711921692],[0.48992109298706055],[0.2566482722759247],[0.5229184627532959],[0.0528208464384079],[0.4912315309047699],[0.3110637068748474],[0.10141007602214813],[0.11808829009532928],[0.24552731215953827],[0.3474530279636383],[0.10137920826673508],[0.10461179912090302],[0.0927421897649765],[0.40087467432022095],[0.34120503067970276],[0.07217999547719955],[0.3271458148956299],[0.08583805710077286],[0.43300482630729675],[0.13380680978298187]
[0.0778370201587677],[0.11183561384677887],[0.05173320323228836],[0.08425335586071014],[0.08755363523960114],[0.0674741342663765],[0.40963464975357056],[0.20991046726703644],[0.44354888796806335],[0.04590214043855667],[0.41490626335144043],[0.25198256969451904],[0.07946252822875977],[0.0827227532863617],[0.19416403770446777],[0.2893361747264862],[0.0778370201587677],[0.08019371330738068],[0.0717422217130661],[0.35527101159095764],[0.27117183804512024],[0.057603657245635986],[0.21121782064437866],[0.06710504740476608],[0.41449734568595886],[0.09915964305400848]
[0.052645258605480194],[0.07690799981355667],[0.039867937564849854],[0.05720771104097366],[0.05930982530117035],[0.04773180931806564],[0.312641978263855],[0.14347895979881287],[0.3383426070213318],[0.03610788285732269],[0.31846722960472107],[0.18579824268817902],[0.0547078400850296],[0.05745049566030502],[0.12694455683231354],[0.20667938888072968],[0.052645258605480194],[0.05377188324928284],[0.04984661191701889],[0.27331188321113586],[0.19380198419094086],[0.043018750846385956],[0.15207575261592865],[0.04658622294664383],[0.3097248673439026],[0.06429736316204071]
[0.031359367072582245],[0.04053328186273575],[0.02530260756611824],[0.03273174911737442],[0.03346693143248558],[0.028702611103653908],[0.19086109101772308],[0.07883823662996292],[0.2132478505373001],[0.023617252707481384],[0.19398580491542816],[0.10109779983758926],[0.03167702257633209],[0.03350929170846939],[0.07196139544248581],[0.11682962626218796],[0.031359367072582245],[0.03191029280424118],[0.02992497757077217],[0.15140777826309204],[0.11028166860342026],[0.02654067985713482],[0.09124144911766052],[0.028712129220366478],[0.17840473353862762],[0.036766670644283295]
[0.02140139415860176],[0.026385381817817688],[0.01836034283041954],[0.022243358194828033],[0.022662043571472168],[0.020184332504868507],[0.12275556474924088],[0.04524172097444534],[0.13870267570018768],[0.017597293481230736],[0.12530037760734558],[0.0600893497467041],[0.021675780415534973],[0.022215710952878],[0.04113783687353134],[0.0705285519361496],[0.02140139415860176],[0.021675435826182365],[0.020700819790363312],[0.09914424270391464],[0.06517291814088821],[0.019052639603614807],[0.04839322343468666],[0.020080985501408577],[0.12071888893842697],[0.024020647630095482]
[0.012760007753968239],[0.015002253465354443],[0.011523811146616936],[0.013143126852810383],[0.013327507302165031],[0.012262417003512383],[0.07137786597013474],[0.02415514923632145],[0.08292298763990402],[0.01117406040430069],[0.0733947679400444],[0.03013516031205654],[0.012909610755741596],[0.01320013590157032],[0.022111965343356133],[0.03488133102655411],[0.012760007753968239],[0.012870587408542633],[0.012480615638196468],[0.05353826284408569],[0.032388344407081604],[0.011810188181698322],[0.02598067931830883],[0.012193016707897186],[0.06825871020555496],[0.013876432552933693]
[0.014104411005973816],[0.014916758984327316],[0.013594192452728748],[0.014233024790883064],[0.01429926697164774],[0.013888603076338768],[0.03213232383131981],[0.01822466403245926],[0.03858762979507446],[0.013456284999847412],[0.03286714479327202],[0.020400594919919968],[0.014141221530735493],[0.01427239179611206],[0.017570842057466507],[0.021972404792904854],[0.014104411005973816],[0.014150649309158325],[0.013985137455165386],[0.026388244703412056],[0.021238358691334724],[0.013703636825084686],[0.019094834104180336],[0.01388038694858551],[0.030467428267002106],[0.014556552283465862]
[0.02104586362838745],[0.02151845023036003],[0.020764853805303574],[0.021125445142388344],[0.021164773032069206],[0.020932545885443687],[0.03433912619948387],[0.023389486595988274],[0.03787706419825554],[0.020691456273198128],[0.03485630452632904],[0.0247783400118351],[0.021072983741760254],[0.021129431203007698],[0.022979792207479477],[0.02579372748732567],[0.02104586362838745],[0.021071190014481544],[0.020981337875127792],[0.02986288070678711],[0.02527311071753502],[0.020828716456890106],[0.023741498589515686],[0.020921897143125534],[0.03367282450199127],[0.021291904151439667]
[0.04565294086933136],[0.04612034559249878],[0.045384202152490616],[0.045731253921985626],[0.045769669115543365],[0.04554331302642822],[0.05810551345348358],[0.04802226275205612],[0.06151154637336731],[0.0453098863363266],[0.05861986428499222],[0.049290843307971954],[0.0456811897456646],[0.0457446351647377],[0.04760991781949997],[0.050266437232494354],[0.04565294086933136],[0.04567711055278778],[0.0455915629863739],[0.0538797527551651],[0.04976806044578552],[0.04544512555003166],[0.04842814430594444],[0.045531660318374634],[0.05724560469388962],[0.04589351266622543]
[0.1081831306219101],[0.10847838222980499],[0.108004629611969],[0.10823143273591995],[0.10825571417808533],[0.10810930281877518],[0.1154804453253746],[0.10966851562261581],[0.11770835518836975],[0.10795659571886063],[0.11577460914850235],[0.11046940833330154],[0.10819871723651886],[0.10824085026979446],[0.10942280292510986],[0.11106009781360626],[0.1081831306219101],[0.10819927603006363],[0.10814183205366135],[0.11307473480701447],[0.11076916754245758],[0.10804413259029388],[0.1099371463060379],[0.10810413956642151],[0.11495186388492584],[0.10834123194217682]
