HLY_TEMP_NORMAL_SF,HLY_TEMP_10PCTL_SF,HLY_TEMP_90PCTL_SF,HLY_DEWP_NORMAL_SF,HLY_DEWP_10PCTL_SF,HLY_DEWP_90PCTL_SF,HLY_PRES_NORMAL_SF,HLY_PRES_10PCTL_SF,HLY_PRES_90PCTL_SF,HLY_CLDH_NORMAL_SF,HLY_HTDH_NORMAL_SF,HLY_CLOD_PCTCLR_SF,HLY_CLOD_PCTFEW_SF,HLY_CLOD_PCTSCT_SF,HLY_CLOD_PCTBKN_SF,HLY_CLOD_PCTOVC_SF,HLY_HIDX_NORMAL_SF,HLY_WCHL_NORMAL_SF,HLY_WIND_AVGSPD_SF,HLY_WIND_PCTCLM_SF,HLY_WIND_VCTDIR_SF,HLY_WIND_VCTSPD_SF,HLY_WIND_1STDIR_SF,HLY_WIND_1STPCT_SF,HLY_WIND_2NDDIR_SF,HLY_WIND_2NDPCT_SF
0.10137921,0.14564848,0.06605856,0.10691403,0.1103841,0.08406547,0.4899211,0.25664827,0.52291846,0.052820846,0.49123153,0.3110637,0.101410076,0.11808829,0.24552731,0.34745303,0.10137921,0.1046118,0.09274219,0.40087467,0.34120503,0.072179995,0.3271458,0.08583806,0.43300483,0.13380681
0.07783702,0.111835614,0.051733203,0.084253356,0.087553635,0.067474134,0.40963465,0.20991047,0.4435489,0.04590214,0.41490626,0.25198257,0.07946253,0.08272275,0.19416404,0.28933617,0.07783702,0.08019371,0.07174222,0.355271,0.27117184,0.057603657,0.21121782,0.06710505,0.41449735,0.09915964
0.05264526,0.076908,0.039867938,0.05720771,0.059309825,0.04773181,0.31264198,0.14347896,0.3383426,0.036107883,0.31846723,0.18579824,0.05470784,0.057450496,0.12694456,0.20667939,0.05264526,0.053771883,0.049846612,0.27331188,0.19380198,0.04301875,0.15207575,0.046586223,0.30972487,0.06429736
0.031359367,0.040533282,0.025302608,0.03273175,0.03346693,0.028702611,0.19086109,0.07883824,0.21324785,0.023617253,0.1939858,0.1010978,0.031677023,0.03350929,0.071961395,0.116829626,0.031359367,0.031910293,0.029924978,0.15140778,0.11028167,0.02654068,0.09124145,0.02871213,0.17840473,0.03676667
0.021401394,0.026385382,0.018360343,0.022243358,0.022662044,0.020184333,0.122755565,0.04524172,0.13870268,0.017597293,0.12530038,0.06008935,0.02167578,0.022215711,0.041137837,0.07052855,0.021401394,0.021675436,0.02070082,0.09914424,0.06517292,0.01905264,0.048393223,0.020080986,0.12071889,0.024020648
0.012760008,0.015002253,0.011523811,0.013143127,0.013327507,0.012262417,0.071377866,0.02415515,0.08292299,0.01117406,0.07339477,0.03013516,0.012909611,0.013200136,0.022111965,0.03488133,0.012760008,0.012870587,0.012480616,0.053538263,0.032388344,0.011810188,0.02598068,0.012193017,0.06825871,0.013876433
0.014104411,0.014916759,0.013594192,0.014233025,0.014299267,0.013888603,0.032132324,0.018224664,0.03858763,0.013456285,0.032867145,0.020400595,0.0141412215,0.014272392,0.017570842,0.021972405,0.014104411,0.014150649,0.013985137,0.026388245,0.021238359,0.013703637,0.019094834,0.013880387,0.030467428,0.014556552
0.021045864,0.02151845,0.020764854,0.021125445,0.021164773,0.020932546,0.034339126,0.023389487,0.037877064,0.020691456,0.034856305,0.02477834,0.021072984,0.021129431,0.022979792,0.025793727,0.021045864,0.02107119,0.020981338,0.02986288,0.02527311,0.020828716,0.023741499,0.020921897,0.033672825,0.021291904
0.04565294,0.046120346,0.045384202,0.045731254,0.04576967,0.045543313,0.058105513,0.048022263,0.061511546,0.045309886,0.058619864,0.049290843,0.04568119,0.045744635,0.047609918,0.050266437,0.04565294,0.04567711,0.045591563,0.053879753,0.04976806,0.045445126,0.048428144,0.04553166,0.057245605,0.045893513
0.10818313,0.10847838,0.10800463,0.10823143,0.108255714,0.1081093,0.115480445,0.109668516,0.117708355,0.107956596,0.11577461,0.11046941,0.10819872,0.10824085,0.1094228,0.1110601,0.10818313,0.108199276,0.10814183,0.113074735,0.11076917,0.10804413,0.10993715,0.10810414,0.114951864,0.10834123
