date,HLY_TEMP_NORMAL_SD,HLY_TEMP_10PCTL_SD,HLY_TEMP_90PCTL_SD,HLY_DEWP_NORMAL_SD,HLY_DEWP_10PCTL_SD,HLY_DEWP_90PCTL_SD,HLY_PRES_NORMAL_SD,HLY_PRES_10PCTL_SD,HLY_PRES_90PCTL_SD,HLY_CLDH_NORMAL_SD,HLY_HTDH_NORMAL_SD,HLY_CLOD_PCTCLR_SD,HLY_CLOD_PCTFEW_SD,HLY_CLOD_PCTSCT_SD,HLY_CLOD_PCTBKN_SD,HLY_CLOD_PCTOVC_SD,HLY_HIDX_NORMAL_SD,HLY_WCHL_NORMAL_SD,HLY_WIND_AVGSPD_SD,HLY_WIND_PCTCLM_SD,HLY_WIND_VCTDIR_SD,HLY_WIND_VCTSPD_SD,HLY_WIND_1STDIR_SD,HLY_WIND_1STPCT_SD,HLY_WIND_2NDDIR_SD,HLY_WIND_2NDPCT_SD,AvgMegawatts2019-2020-2021
01-01T00:00:00,53.6,48.9,57.9,43.9,33.1,54.0,1019.1,1014.3,1023.9,0.0,11.4,35.1,17.8,12.9,12.9,21.4,53.6,53.4,3.1,46.2,45.0,0.4,1.0,12.4,3.0,8.3,278873.3333333333
01-01T01:00:00,52.9,48.0,57.9,43.0,30.9,53.1,1018.9,1014.2,1023.7,0.0,12.1,36.2,17.2,13.2,14.2,19.2,52.9,52.7,3.2,48.9,47.0,0.3,1.0,10.0,3.0,8.3,247422.33333333334
01-01T02:00:00,52.1,46.9,57.9,42.7,30.9,53.1,1018.9,1014.2,1023.6,0.0,12.9,38.5,15.8,11.2,13.5,20.9,52.1,51.9,3.1,50.7,351.0,0.4,1.0,13.0,8.0,9.3,240134.66666666666
01-01T03:00:00,51.6,46.0,57.0,41.9,30.0,52.0,1018.8,1014.0,1023.5,0.0,13.4,37.4,17.2,12.1,12.1,21.2,51.6,51.3,3.0,53.6,24.0,0.3,1.0,9.6,3.0,8.0,236243.66666666666
01-01T04:00:00,51.1,46.0,57.0,41.3,28.9,52.0,1018.6,1013.8,1023.3,0.0,13.9,34.8,14.8,10.2,19.7,20.4,51.1,50.8,2.9,51.9,38.0,0.4,1.0,12.4,3.0,8.6,235757.33333333334
01-01T05:00:00,50.7,45.0,57.0,40.7,28.0,51.1,1018.6,1013.7,1023.3,0.0,14.3,39.5,14.5,11.7,14.0,20.2,50.7,50.4,2.8,56.0,40.0,0.4,1.0,12.4,4.0,7.0,240957.33333333334
01-01T06:00:00,50.4,45.0,57.0,40.3,28.0,52.0,1018.9,1014.0,1023.6,0.0,14.6,34.8,20.6,12.4,13.2,18.9,50.4,50.1,2.8,54.2,57.0,0.4,1.0,9.7,3.0,9.5,249374.66666666666
01-01T07:00:00,50.6,45.0,57.0,39.6,27.0,51.1,1019.2,1014.6,1024.0,0.0,14.4,19.1,20.9,20.2,20.9,18.9,50.6,50.2,3.0,52.7,63.0,0.7,3.0,10.6,1.0,10.6,249754.0
01-01T08:00:00,52.1,46.9,57.9,39.9,27.0,52.0,1019.7,1015.0,1024.3,0.0,12.9,20.6,23.7,14.7,23.7,17.5,52.1,51.9,3.0,52.0,104.0,0.4,8.0,10.3,3.0,9.2,242571.0
01-01T09:00:00,55.9,51.1,60.1,40.8,27.0,52.0,1020.2,1015.4,1024.9,0.0,9.2,20.1,23.4,14.8,22.9,18.8,55.9,55.8,3.5,44.7,165.0,0.7,4.0,12.2,8.0,10.9,233221.33333333334
01-01T10:00:00,59.1,54.0,64.9,40.8,27.0,52.0,1020.4,1015.7,1025.1,0.2,6.1,17.9,19.5,15.4,27.4,19.8,59.1,59.1,4.4,34.2,213.0,1.1,5.0,17.6,8.0,14.0,225248.33333333334
01-01T11:00:00,61.8,55.9,69.1,40.4,26.1,53.1,1019.9,1015.3,1024.4,0.9,4.2,18.5,23.1,18.0,22.3,18.0,61.8,61.7,5.6,18.2,236.0,2.2,5.0,22.7,8.0,20.5,219399.66666666666
01-01T12:00:00,63.1,57.9,71.1,41.1,25.0,53.1,1018.9,1014.6,1023.3,1.3,3.2,19.3,20.6,18.6,24.5,17.0,63.1,63.1,7.3,5.8,258.0,3.5,8.0,33.4,5.0,20.7,217056.0
01-01T13:00:00,63.6,57.9,71.1,41.9,27.0,53.1,1018.2,1013.8,1022.5,1.5,2.9,16.9,20.7,19.2,25.6,17.6,63.6,63.6,8.6,2.2,268.0,4.7,8.0,38.7,7.0,18.8,219144.0
01-01T14:00:00,63.6,57.9,71.1,42.6,27.0,54.0,1017.8,1013.2,1022.3,1.5,2.9,17.1,20.2,22.2,21.2,19.4,63.6,63.6,8.9,1.8,274.0,5.5,8.0,38.7,7.0,24.8,228203.66666666666
01-01T15:00:00,63.1,57.9,70.0,43.6,30.0,55.0,1017.7,1013.2,1022.1,1.2,3.1,17.2,22.8,16.4,24.4,19.2,63.1,63.1,8.8,1.1,278.0,5.5,8.0,45.6,7.0,22.0,242501.33333333334
01-01T16:00:00,62.2,57.0,69.1,44.7,32.0,55.0,1017.8,1013.4,1022.3,0.9,3.7,11.4,22.3,15.3,30.1,21.0,62.2,62.2,8.1,1.8,282.0,5.1,8.0,46.6,7.0,21.0,268056.3333333333
01-01T17:00:00,60.4,55.9,66.0,45.8,34.0,55.0,1018.1,1013.7,1022.5,0.4,5.0,11.7,20.9,22.2,29.3,15.8,60.4,60.4,6.4,6.9,288.0,3.6,8.0,44.8,7.0,16.9,302974.0
01-01T18:00:00,59.0,55.0,64.0,46.5,34.0,55.9,1018.3,1013.4,1022.7,0.1,6.1,15.9,22.2,21.2,22.4,18.4,59.0,59.0,4.7,25.1,297.0,1.5,8.0,26.8,1.0,16.6,308901.3333333333
01-01T19:00:00,58.1,54.0,62.1,46.5,35.1,55.0,1018.7,1014.1,1023.0,0.0,7.0,24.1,20.5,18.0,19.5,18.0,58.1,58.1,3.9,36.0,326.0,0.4,8.0,15.3,1.0,14.9,305830.0
01-01T20:00:00,57.2,53.1,61.0,46.4,36.0,55.0,1018.9,1014.1,1023.4,0.0,7.8,28.8,18.2,14.1,18.9,19.9,57.2,57.2,3.5,42.9,101.0,0.2,1.0,11.1,8.0,10.0,299625.3333333333
01-01T21:00:00,56.2,52.0,60.1,46.0,35.1,55.0,1019.1,1014.0,1023.7,0.0,8.8,32.5,15.5,17.2,15.0,19.8,56.2,56.2,3.4,42.4,82.0,0.6,3.0,9.6,8.0,9.5,289415.3333333333
01-01T22:00:00,55.4,51.1,60.1,45.5,34.0,55.0,1019.3,1014.4,1023.8,0.0,9.7,31.1,14.7,15.9,19.6,18.7,55.4,55.3,3.3,45.8,94.0,0.4,1.0,12.6,3.0,8.5,273019.3333333333
01-01T23:00:00,54.5,50.0,59.0,44.9,34.0,54.0,1019.2,1014.5,1023.7,0.0,10.5,34.2,19.9,12.2,13.5,20.2,54.5,54.5,3.3,46.2,85.0,0.4,1.0,13.6,3.0,8.9,242270.0
01-02T00:00:00,53.7,48.9,59.0,44.2,33.1,54.0,1019.1,1014.3,1023.7,0.0,11.3,35.1,17.5,12.4,13.4,21.6,53.7,53.6,3.1,47.3,66.0,0.3,1.0,12.2,3.0,8.1,266135.3333333333
01-02T01:00:00,53.1,48.0,57.9,43.4,32.0,53.6,1018.9,1014.4,1023.5,0.0,11.9,36.6,16.3,12.7,14.5,19.8,53.1,52.9,3.1,49.1,81.0,0.4,3.0,9.2,1.0,9.2,237164.33333333334
01-02T02:00:00,52.3,46.9,57.9,43.0,30.9,53.1,1018.9,1014.2,1023.4,0.0,12.7,38.6,15.3,11.0,13.3,21.7,52.3,52.1,3.0,50.7,12.0,0.3,1.0,12.8,8.0,8.3,232425.33333333334
01-02T03:00:00,51.8,46.9,57.2,42.2,30.0,53.1,1018.8,1014.1,1023.3,0.0,13.2,37.1,17.3,11.9,12.2,21.6,51.8,51.5,3.0,53.6,50.0,0.3,1.0,9.8,3.0,7.9,232288.0
01-02T04:00:00,51.3,46.0,57.0,41.7,28.9,52.0,1018.5,1013.8,1023.2,0.0,13.7,34.8,15.1,9.7,19.3,21.1,51.3,51.0,3.0,51.8,61.0,0.4,1.0,12.1,3.0,8.7,238434.66666666666
01-02T05:00:00,50.9,45.0,57.0,41.2,28.9,52.0,1018.5,1013.7,1023.2,0.0,14.1,39.0,15.3,11.2,13.8,20.7,50.9,50.6,2.9,54.2,57.0,0.5,1.0,13.0,4.0,7.5,252467.0
01-02T06:00:00,50.6,45.0,57.0,40.7,28.0,52.0,1018.9,1014.0,1023.4,0.0,14.4,34.1,20.6,12.2,13.2,19.9,50.6,50.3,2.8,54.9,70.0,0.4,3.0,9.7,1.0,9.0,272646.6666666667
01-02T07:00:00,50.8,45.0,57.0,40.0,27.0,52.0,1019.2,1014.6,1023.7,0.0,14.2,18.8,21.3,20.1,21.1,18.8,50.8,50.4,3.1,51.6,64.0,0.8,1.0,11.5,3.0,11.1,283299.0
01-02T08:00:00,52.3,46.9,57.9,40.3,27.0,52.0,1019.7,1015.0,1024.2,0.0,12.7,19.3,24.4,14.1,24.7,17.5,52.3,52.1,3.0,52.0,100.0,0.5,8.0,10.3,3.0,10.1,282622.0
01-02T09:00:00,56.0,51.1,60.1,41.2,28.0,52.0,1020.2,1015.5,1024.9,0.0,9.1,19.2,23.6,14.9,23.6,18.7,56.0,55.9,3.6,43.8,162.0,0.8,4.0,12.7,8.0,11.2,273856.3333333333
01-02T10:00:00,59.2,54.0,64.9,41.2,27.0,52.0,1020.4,1015.9,1025.0,0.2,6.0,16.6,19.1,16.6,28.3,19.5,59.2,59.2,4.5,32.8,208.0,1.3,5.0,19.5,8.0,13.2,265200.3333333333
01-02T11:00:00,61.7,55.9,69.1,40.9,26.1,53.1,1019.9,1015.4,1024.4,0.9,4.2,17.8,23.2,18.1,23.4,17.6,61.7,61.7,5.7,18.4,230.0,2.2,5.0,23.9,8.0,20.0,259196.0
01-02T12:00:00,63.0,57.9,71.1,41.7,26.1,53.1,1018.9,1014.6,1023.3,1.3,3.3,18.4,20.5,18.9,25.6,16.6,63.0,63.0,7.4,5.6,254.0,3.4,8.0,32.5,5.0,21.3,255828.0
01-02T13:00:00,63.5,57.9,71.1,42.5,27.0,53.6,1018.2,1013.9,1022.5,1.5,2.9,16.5,19.8,20.1,25.4,18.3,63.5,63.5,8.6,2.0,264.0,4.7,8.0,36.8,7.0,19.6,258011.33333333334
01-02T14:00:00,63.5,57.9,71.1,43.3,28.0,54.0,1017.8,1013.5,1022.3,1.4,2.9,17.0,19.5,22.0,21.8,19.7,63.5,63.5,9.0,1.6,272.0,5.4,8.0,38.7,7.0,24.0,263424.6666666667
